position,driverNumber,driverId,constructorId,engineManufacturerId,tyreManufacturerId,laps,time,timePenalty,gap,interval,reasonRetired,points,gridPosition,year,race,grandSlam
3,1,ayrton-senna,mclaren,honda,goodyear,60.0,1:29:29.911,,+48.984,+39.533,,4.0,3.0,1992,san-marino,
DNF,1,ayrton-senna,mclaren,honda,goodyear,17.0,,,,,Engine,,3.0,1992,brazil,
2,1,ayrton-senna,mclaren,honda,goodyear,45.0,1:18:26.532,,+4.500,+4.500,,6.0,3.0,1992,germany,
DNF,1,ayrton-senna,mclaren,honda,goodyear,0.0,,,,,Collision,,3.0,1992,france,
5,1,ayrton-senna,mclaren,honda,goodyear,44.0,1:37:19.090,,+1:08.369,+22.310,,2.0,2.0,1992,belgium,
DNF,1,ayrton-senna,mclaren,honda,goodyear,37.0,,,,,Electrical,,1.0,1992,canada,
DNF,1,ayrton-senna,mclaren,honda,goodyear,11.0,,,,,Transmission,,6.0,1992,mexico,
DNF,1,ayrton-senna,mclaren,honda,goodyear,2.0,,,,,Engine,,3.0,1992,japan,
DNF,1,ayrton-senna,mclaren,honda,goodyear,52.0,,,,,Transmission,,3.0,1992,great-britain,
1,1,ayrton-senna,mclaren,honda,goodyear,78.0,1:50:59.372,,,,,10.0,3.0,1992,monaco,
1,1,ayrton-senna,mclaren,honda,goodyear,77.0,1:46:19.216,,,,,10.0,3.0,1992,hungary,
3,1,ayrton-senna,mclaren,honda,goodyear,70.0,,,+1 lap,,,4.0,3.0,1992,portugal,
3,1,ayrton-senna,mclaren,honda,goodyear,72.0,1:37:19.995,,+34.675,+10.315,,4.0,2.0,1992,south-africa,
9,1,ayrton-senna,mclaren,honda,goodyear,62.0,,,,,Spun off,,3.0,1992,spain,
1,1,ayrton-senna,mclaren,honda,goodyear,53.0,1:18:15.349,,,,,10.0,2.0,1992,italy,
DNF,1,ayrton-senna,mclaren,honda,goodyear,18.0,,,,,Collision,,2.0,1992,australia,
4,8,ayrton-senna,mclaren,ford,goodyear,45.0,1:19:49.114,,+1:08.229,+8.880,,3.0,4.0,1993,germany,
4,8,ayrton-senna,mclaren,ford,goodyear,72.0,1:39:07.646,,+32.405,+11.196,,3.0,5.0,1993,france,
4,8,ayrton-senna,mclaren,ford,goodyear,44.0,1:26:11.887,,+1:39.763,+1:24.775,,3.0,5.0,1993,belgium,
18,8,ayrton-senna,mclaren,ford,goodyear,62.0,,,,,Electrical,,8.0,1993,canada,
1,8,ayrton-senna,mclaren,ford,goodyear,53.0,1:40:27.912,,,,,10.0,2.0,1993,japan,
5,8,ayrton-senna,mclaren,ford,goodyear,58.0,,,,,Out of fuel,2.0,4.0,1993,great-britain,
1,8,ayrton-senna,mclaren,ford,goodyear,78.0,1:52:10.947,,,,,10.0,3.0,1993,monaco,
DNF,8,ayrton-senna,mclaren,ford,goodyear,17.0,,,,,Throttle,,4.0,1993,hungary,
DNF,8,ayrton-senna,mclaren,ford,goodyear,19.0,,,,,Engine,,4.0,1993,portugal,
2,8,ayrton-senna,mclaren,ford,goodyear,65.0,1:32:44.558,,+16.873,+16.873,,6.0,3.0,1993,spain,
1,8,ayrton-senna,mclaren,ford,goodyear,76.0,1:50:46.570,,,,,10.0,4.0,1993,europe,
DNF,8,ayrton-senna,mclaren,ford,goodyear,42.0,,,,,Hydraulics,,4.0,1993,san-marino,
1,8,ayrton-senna,mclaren,ford,goodyear,71.0,1:51:15.485,,,,,10.0,3.0,1993,brazil,
2,8,ayrton-senna,mclaren,ford,goodyear,72.0,1:40:04.906,,+1:19.824,+1:19.824,,6.0,2.0,1993,south-africa,
DNF,8,ayrton-senna,mclaren,ford,goodyear,8.0,,,,,Collision,,4.0,1993,italy,
1,8,ayrton-senna,mclaren,ford,goodyear,79.0,1:43:27.476,,,,,10.0,1.0,1993,australia,
DNF,2,ayrton-senna,williams,renault,goodyear,55.0,,,,,Spun off,,1.0,1994,brazil,
DNF,2,ayrton-senna,williams,renault,goodyear,0.0,,,,,Collision,,1.0,1994,pacific,
DNF,2,ayrton-senna,williams,renault,goodyear,5.0,,,,,Fatal accident,,1.0,1994,san-marino,
